id,name,review_count,rate,address,zip_code,coordinates
6ptX8V8WW_IzhHXLJ4SRAA,Dos Toros Taqueria,162,3.5,465 Lexington Ave,10017,"(40.75352, -73.97418)"
v4_89HfTm05NFTuukjsl_g,The Burrito Box,826,4.0,885 9th Ave,10019,"(40.76831, -73.98565)"
hR1bG0jgd2_Z9Q5L6siTEw,Antojito Mexicano,36,4.5,6th Avenue & 28th Street,10001,"(40.7460380678347, -73.9905191880082)"
qHbQ2V9K_GJqLaOaielk_Q,Cascabel Taqueria,364,3.5,1556 2nd Ave,10028,"(40.7743636, -73.9539916)"
mVaslo987DCd3YC_0FtWxA,Mole,421,3.5,57 Jane St,10014,"(40.73822, -74.00524)"
iPc-zPgcpgeSo76xl5Jbpw,The Maze,366,4.0,32 W 32nd St,10001,"(40.74775, -73.98716)"
0AWdTQZ97G4rutU0z9Di6g,Fonda East Village,702,4.0,40 Avenue B,10009,"(40.722852, -73.98286)"
uipFunIVqRWwopfEvrscyQ,Casa Mezcal,383,3.5,86 Orchard St,10002,"(40.7179602, -73.9902328)"
X0IWYIpyp-eeD783EqVGWw,Oxido,213,4.0,18 W 23rd St,10010,"(40.7417158567418, -73.9903659152219)"
ub2VfE7SRLJABAClzGZp3A,Tacombi - Flatiron,586,3.5,30 W 24th St,10010,"(40.7428563, -73.9911656)"
L3REPLCvQpMapYPd_fkS-A,Los Mariscos,471,4.5,409 W 15th St,10011,"(40.74207, -74.00565)"
SXWnyFNLCehVlJPRxk7gAg,Anejo Tribeca,302,4.0,301 Church St,10013,"(40.7193829, -74.004417)"
U9BX6bMvXHk8umBYnS3Dog,Dos Toros Taqueria,1301,4.0,137 4th Ave,10003,"(40.7336815475083, -73.9897049423153)"
u9xVzV1OZC5pwtUgaHLM-A,El Kallejon,243,4.5,209 E 117th St,10035,"(40.798538, -73.938805)"
ojeMH0rbOOMx9ajChbVkJQ,Papatzul,394,3.5,55 Grand St,10013,"(40.722148, -74.003677)"
YsDmYRzJo3kiwZvIe1r0Fg,Playa Betty's,622,3.5,320 Amsterdam Ave,10023,"(40.78075, -73.98032)"
hKkPlYmHoS9Nb_UbGGqx8A,Street Taco,265,4.0,358 3rd Ave,10016,"(40.74097, -73.98202)"
tbyq3mdNFQrZPIuRmO0bQw,Takumi Taco,1,4.0,570 Lexington Ave,10022,"(40.757156, -73.972604)"
1m6viubAWUgsTgguIrJT6A,Cosme,865,3.5,35 E 21st St,10010,"(40.739691, -73.988428)"
bbb6QZReetkrrubqGWJokQ,Pulqueria,464,3.5,11 Doyers St,10013,"(40.71448, -73.99819)"
tCuPhpmf1PaYe5dmwdq8Ew,Guacamole Mexican Restaurant,109,4.0,768 Amsterdam Ave,10025,"(40.79515, -73.9698)"
WqjqHMozyW42XLTtLnKGag,La Pulperia Hell's Kitchen,699,4.5,371 W 46th St,10036,"(40.7609037798437, -73.9905203491259)"
oB-4zuwbICQ0BvuS5D5Mtg,Las Quesadillas,1,5.0,6312 Broadway,07093,"(40.78961, -74.00813)"
Ahx8GsuAGUl8TgqCWP7uXw,Temerario,210,3.5,198 8th Ave,10011,"(40.7434133400872, -73.9996277220286)"
VIIfYEzIppjps0K_J_8zLg,El Rio Grande,584,3.5,160 E 38th St,10016,"(40.748074661455, -73.976690081965)"
ir1jLDagZiMaHo7My4oUDg,La Flaca,329,3.5,384 Grand St,10002,"(40.7165, -73.98763)"
ifGXrRqs-zp6ek7LsoozrQ,Taqueria Diana,691,4.0,129 2nd Ave,10003,"(40.7284337609976, -73.9879844318771)"
jYAqup9AF9N9wYAWYanZ-A,Arriba Arriba Midtown,834,3.5,762 9th Ave,10019,"(40.7641288111074, -73.9882850646973)"
zxdsVR_hHUzhBFfus4yd7A,Dos Caminos,952,3.0,675 Hudson St,10014,"(40.7404330511257, -74.0054753422738)"
mdNall-R8nQb6gYLxWlJMg,Guac & Jazzo,148,3.5,179 Avenue B,10009,"(40.72764, -73.9792)"
SCQvI5pAJmD-OMm37kkS6Q,DORADO Tacos & Quesadillas,587,4.0,28 E 12th St,10003,"(40.73396, -73.99312)"
AABqAsYdRI9gSyU1gStdxg,Gina Mexicana,131,3.0,145 E 61st St,10021,"(40.763456, -73.966753)"
VVe74-TKuROBvyS1XgVmvw,Miscelanea NY,338,5.0,63 E 4th St,10003,"(40.72686, -73.99075)"
u1KX3yw6L7pg1rbFl_Sx3Q,Lalito,127,3.5,104 Bayard St,10013,"(40.716289, -73.99974)"
ZIfh0Vv86ktGZDdM3YME-w,Mexico Lindo Restaurant,238,3.5,459 2nd Ave,10010,"(40.73981, -73.97984)"
E_oFzRY-7j9T04qHkORCsw,Santa Fe,156,3.5,73 W 71st St,10023,"(40.7767077615034, -73.9789559105304)"
mhrLDFTxUzW2koRAzjlt5g,Chavela's,974,4.0,736 Franklin Ave,11238,"(40.673484, -73.957267)"
h8J10FpJGaU_4OvP2MgoKQ,Oso,239,4.0,1618 Amsterdam Ave At 140th St,10031,"(40.82195, -73.9502399)"
EHUNrnIgnhwTnpOm3gEESg,Tacuba,606,3.5,35-01 36th St,11106,"(40.75585, -73.92447)"
4sHkiQ0qURBjL_gVLQbGPw,Taqueria Diana,169,3.5,524 9th Ave,10018,"(40.75652, -73.99371)"
X2C0_I0seTtjW9uL8e8FBw,Don Chingon,309,4.5,216 Flatbush Ave,11217,"(40.6810431221494, -73.9752403260395)"
SNNDz7nTCL1lf9yEY5DaBA,Margarita Bar NYC,19,3.5,709 8th Ave,10036,"(40.759132, -73.9886919)"
FavssEgZjXFi2unEXePkVQ,Tacombi - Bleecker Street,312,3.5,255 Bleecker St,10014,"(40.73112, -74.00272)"
f7g3GhoQs9nQVTJEL2p48Q,Gran Electrica,438,3.5,5 Front St,11201,"(40.7027, -73.99314)"
1UqrqRx_35w87pQeg17Gqg,El Toro Blanco,375,3.5,257 6th Ave,10014,"(40.72902, -74.00277)"
J9pgjC191T-odCmTAG-grQ,El Diablito Taqueria,300,4.0,60 E 3rd St,10003,"(40.72504, -73.98917)"
d7YbQzGlmawMGAzUHzZvuw,Tacombi - Nolita,1040,3.5,267 Elizabeth St,10012,"(40.7240304, -73.9939028)"
L1-qxIGlGqad0mLWhW1PUg,Holi Mole,33,4.5,250 Mott St,10012,"(40.7234006569329, -73.9946759748688)"
UBqLK5kg0kT72CIaBYa5Zg,Patron Mexican Grill,397,3.0,608 9th Ave,10036,"(40.75923, -73.99173)"
QwL5LS436Xjo9MHFi2rc-g,Agave,1204,3.5,140 7th Ave,10011,"(40.734767, -74.002415)"
TJCyocLYrUBfbf8r0DaBXw,Tacos Grand Central,190,4.0,153 E 43rd St,10017,"(40.75164, -73.97418)"
AnAZaBsEuBjYvzaPMTN0oQ,Flats Fix Taqueria,159,4.0,30 East 16th St,10003,"(40.73659, -73.99115)"
2hmhZim4bX2lbjPSNc7LaA,Javelina,420,3.5,119 E 18th St,10003,"(40.7368812561035, -73.9873886108398)"
FeSZi6LBCcAIipoSua6dXg,La Esquina UES,112,3.5,1402 2nd Ave,10021,"(40.7693091, -73.9578192)"
DY2wlHlgC5eHITs-d5rT4w,Panchos,57,4.5,964 Amsterdam Ave,10025,"(40.8015, -73.96534)"
skN-mgnOezFQr9YNh5G5TQ,Lolita's Kitchen,79,4.0,1364 Lexington Ave,10128,"(40.7824207446896, -73.9534502033954)"
xN4yKQMzo3PIoQlFamUOLQ,La Esquina,161,3.5,200 W 55th St,10019,"(40.7642986928764, -73.9814604957066)"
9OUXhF3r1CVF8jahUanMbg,Cancun,349,3.0,937 8th Ave,10019,"(40.76578, -73.98379)"
L5eqJRy8Yx_4El6rUxWmBw,El Vez Burrito Bar,105,4.0,259 Vesey St,10282,"(40.7147356376792, -74.015635)"
5LO5C4doYF_UP2OB29zYMg,Empellón Taqueria,658,3.5,230 W 4th St,10014,"(40.7341219, -74.0030294)"
g2uaHoIX1e1Y2E63t6DLrg,Selena Rosa,278,3.5,1712 2nd Ave,10128,"(40.779514, -73.950149)"
98Bm2w9RzNJQZo4U3jSgQQ,Tacos Times Square,84,4.0,134 E 27th St,10016,"(40.7417320336149, -73.9823354903991)"
NXjCypQNl7tBrdR3gkFqdg,Lupita's Restaurant,110,4.0,2049 2nd Ave,10029,"(40.790205, -73.943136)"
WV4wYPAGb3W69MfBqIZDHg,Dos Toros Taqueria,54,4.0,555 8th Ave,10018,"(40.75468, -73.99214)"
rPTtQ-FO_F9tMJDl3m50Bg,Tijuana Picnic,291,3.0,151 Essex St,10002,"(40.7207634, -73.9873657)"
phfxciZ6-Hch_HbW_tvm_A,Villa Cemita,288,4.0,50 Ave A,10009,"(40.72383, -73.98478)"
ddFY9PpygYagv7-jVduB2Q,Counter & Bodega,44,4.5,266 W 23rd St,10011,"(40.745, -73.9982)"
anBWvFPOce4nl3qLX-H6Rg,El Mero Mero,56,4.5,35-57 38th St,11101,"(40.753834323302, -73.923701159656)"
FXgSgiLg6xgOO8zrG51mzg,Claro,121,4.0,284 3rd Ave,11215,"(40.6773587963142, -73.9861984489446)"
lC3C3OSklhJQhHVOqRkoMQ,Savor Por Favor,62,4.0,157 2nd Ave,10003,"(40.7297, -73.98712)"
La78lTOdzTrdFYTGXUp7og,Oaxaca Taqueria,361,3.5,424 Amsterdam Ave,10024,"(40.7841453552246, -73.9778137207031)"
hlc6c-3N_rOvO_XwOGEYRw,Rosa Mexicano,158,3.0,41 Murray St,10007,"(40.7141113543271, -74.0092619508505)"
CNbY3C2vZ2ZYNunXq-EmNQ,Gitano Jungle Room,20,4.0,23 Grand St,10013,"(40.72279, -74.00491)"
iUOijKvgnv_4Iu758CqlOg,Hotel Tortuga,477,3.5,246 E 14th St,10003,"(40.73239, -73.98545)"
q2D80--iDkSwf_OKsS-jdA,La Pulperia UES,661,4.0,1626 2nd Ave,10028,"(40.7766202, -73.9523275)"
XYyIWs-3J4bZRZDfcsMquQ,Rancho Tequilieria,249,3.5,741 9th Ave,10019,"(40.7637209, -73.989186)"
v8tuFxvNkKdZytWTn9BhMA,Fonda Chelsea,308,3.5,189 9th Ave,10011,"(40.7455185879981, -74.0021848849335)"
