id,cuisine,review_count,rate,recommended
M8YeVFsrlYTvoAU_NFPk5Q,mexican,216,4.0,
oux6Pz_hRhJIiGs8EuT6pg,mexican,102,4.5,
iXtZQ7twXQiv7j2ZdxZqUg,mexican,136,4.0,
A8qXfx_LBI6fnOhxDmvIOA,mexican,134,3.5,
1mynqR4fWUovyt9q1_zI9g,mexican,5,5.0,
ONpovEzuqFtHMHN-AtPd8g,mexican,148,4.5,
Ck09FempamAKGSPsV_bX-A,mexican,535,4.5,
mpIy_AMoY-3K5u-JFQQ1uw,mexican,331,4.0,
4rAXH_bl_iJ1BwHp7I3rYg,mexican,229,3.5,
Yilk_Ucz4L6w9EmvAS2gHg,mexican,400,4.0,
XHJhXRjoNZcnvqUQ_xYMzw,mexican,1,5.0,
4IE9hPuy5QIWVdaETUEG_Q,mexican,321,3.5,
j4dGkqL-OK9YH8Sl2eOWEg,mexican,1257,3.5,
0XuJtcq9nMdAWyhJ_fZC-w,mexican,4,5.0,
iK2jJQA72XRjf4nUD3cAnA,mexican,673,4.0,
LQHegfNHe7ylY3bocrFlpg,mexican,1480,4.0,
mNS4lJ66nND2cRoxF9aP3Q,mexican,254,4.5,
Q10FeFs1mtNchv1NbNcsLg,mexican,105,3.5,
eTR6nfHvQzvKX7Dcd6JrfA,mexican,563,4.0,
Drb6I9masZDvxQUVcqE2ww,mexican,748,4.0,
qQIF8nQE1eliKObIlFvBaQ,mexican,318,4.0,
3DNtS1_3gobrYQBAwDx4DA,mexican,667,3.5,
jgFMmMnwipOBv8jOUQpjRQ,mexican,343,3.0,
GXK3j99VZK-7JJ0YrtIR0w,mexican,40,4.0,
60sLpAHHl-IvANGTRzfCow,mexican,17,4.0,
7KO4zcBtc2-2M5kJLfl0kw,mexican,382,4.0,
m3C3d47Bh4NJHGXvT6Rqbg,mexican,112,4.0,
Guy0Mow5rqt4a3RDMRTY5g,mexican,183,4.0,
ApzxIf8AYh3MEgvF63Zuvw,mexican,1,5.0,
9laSSXnr4F16gURfUBbZTA,mexican,74,3.5,
MLJsyE42tx4R3wKp2eqnRQ,mexican,398,3.5,
zjnnccSIpMdx5fN-MxAr_w,mexican,542,3.5,
4sNPRRefpFQl-fE_aU5XaA,mexican,238,3.5,
ZZxYVgodx2TxbYwh-0YU1w,mexican,531,4.5,
z_emTJ2d3kDEe8mz3w-KNw,mexican,146,4.0,
okNIE5TrZVy43GI0A3aUIw,mexican,1152,3.5,
